| Header                                                       | Subheader                                                                        | Subsubheader                                                                     | Chunk #    | Chunk Summary                                                |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 31         | Broker vs. Underwriter Insurance Authority                   |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 32         | Underwriters assess risk, issue insurance policies.          |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 33         | Underwriting, pricing models, and risk assessment.           |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 34         | Reserving actuaries estimate future claim reserves.          |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 35         | Reinsurance frees capacity for insurers.                     |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 36         | Ceding risk to another insurer.                              |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 37         | Actuarial reserving predicts future losses.                  |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 38         | Actuarial roles: reserving vs. pricing.                      |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 39         | Insurer's internal support structure for clients.            |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 40         | Insurer, reinsurer, and another reinsurer involved.          |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 41         | Insurance companies share/transfer their risk.               |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 42         | Reinsurance: Insurers insuring other insurers.               |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 43         | Reinsurance optimizes risk portfolios.                       |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 44         | Balanced portfolio desired by investor.                      |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 45         | Reinsurers share risk with other reinsurers.                 |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 46         | Reinsurance: faster risk management than avoidance.          |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 47         | Insurance, reinsurance, and company focus.                   |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 48         | Reinsurance: later discussion details.                       |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 49         | Insurer staffing varies; actuaries not always...             |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 50         | Brokers connect clients to insurers, not...                  |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 51         | Broker mediates client-insurer interaction.                  |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 52         | Insurance brokerage market structure.                        |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 53         | Digital disruption threatens insurance agents.               |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 54         | Brokers outperform direct insurance channels.                |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.1. A Broker as an intermediary between a client and an insurer               | 55         | Brokers push insurers for higher commissions.                |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 56         | Brokers mediate between insurers/reinsurers.                 |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 57         | Broker mediates between insurers/reinsurers.                 |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 58         | Three insurance policy types exist.                          |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 59         | Insurance, reinsurance, and retrocession policies.           |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 60         | Balancing risk and reward in insurance.                      |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 61         | Insurance risk versus premium reward.                        |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 62         | Adequate reserves for insurer risk.                          |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 63         | Reinsurance manages risk portfolio balance.                  |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 64         | Reinsurance: transferring risk for a premium.                |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 65         | Reinsurers share risk through retrocession.                  |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 66         | Brokers find reinsurance for specific risks.                 |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 67         | Captive insurance: self-insuring for major risks.            |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 68         | Captive insurance for oil rigs                               |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 69         | Oil companies' profits and incident risk.                    |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 70         | Reserves for self-funded oil spill damage.                   |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 71         | Rare oil spills, high insurance payouts.                     |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 72         | Oil rig insurance cost reduction strategies.                 |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 73         | Self-insurance using captive entities.                       |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 74         | Captive insurer covers specific own risks.                   |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 75         | Captive insurance reduces reinsurance costs.                 |
| 1. The Insurance Eco-System                                  | 1.3. A broker as in intermediary between various parties                         | 1.3.2. A Broker as an intermediary between an insurer and another insurer or reinsurer | 76         | Self-insured retention explained through example.            |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 77         | Insurance risk sharing through brokers.                      |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 78         | Brokers negotiate insurance for lower premiums.              |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 79         | Brokers connect multiple insurers.                           |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 80         | "Client" refers to a concept, not...                         |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 81         | Insurance for businesses/companies.                          |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 82         | Fleet insurance for multinational transport company          |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 83         | Risk distribution across multiple insurers.                  |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 84         | Multiple insurance policies, lead insurer.                   |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 85         | Lead insurer manages claims process.                         |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 86         | Risk transfer via reinsurance and retrocession.              |
| 1. The Insurance Eco-System                                  | 1.4. A broker can also act as a dealmaker between a client and multiple insurance and reinsurance entities for the same risk |                                                                                  | 87         | Client obtains insurance via broker.                         |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            |                                                                                  | 88         | Types of reinsurance structuring.                            |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            |                                                                                  | 89         | Types of reinsurance illustrated.                            |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            |                                                                                  | 90         | Reinsurance structuring: Treaty vs. Facultative              |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 91         | Treaty insurance: covering portfolios, not individuals.      |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 92         | Flood risk imbalance in home insurance.                      |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 93         | Three potential outcomes or scenarios.                       |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 94         | Flood risk influences home insurance.                        |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 95         | Reinsurance of flood-prone home policies.                    |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 96         | Portfolio rebalancing for stable customer base.              |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 97         | Reinsurance stabilizes insurers and customer base.           |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 98         | Reinsurer accepts bulk home policies.                        |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 99         | Reinsurer assesses risk at portfolio level.                  |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 100        | Treaty reinsurance: portfolio risk transfer.                 |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 101        | Broker negotiates insurance terms.                           |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 102        | Two main types of treaty reinsurance.                        |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 103        | Proportional reinsurance: shared risk, premiums, losses.     |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 104        | Reinsurance treaty coverage limits.                          |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 105        | Reinsurance example: 75% home policy coverage.               |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 106        | Seeding company reinsurance agreement details.               |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 107        | Pro-rata reinsurance treaty limits and excess.               |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 108        | Reinsurance treaty: risk and premium sharing.                |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 109        | Quota share reinsurance treaty example.                      |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 110        | Surplus share vs. quota share reinsurance.                   |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 111        | Surplus treaty reinsurance: ceding risk proportions.         |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 112        | Surplus share treaty: retained line percentages.             |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 113        | Reinsurance treaty: 75% indemnification, limits defined.     |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 114        | Reinsurance treaty with limited coverage.                    |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 115        | Reinsurance treaties: quota share and surplus...             |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 116        | Excess of Loss Reinsurance (XOL) explained.                  |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 117        | Loss-sharing percentage varies with total loss.              |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 118        | Excess of loss reinsurance explained.                        |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 119        | Three types of Excess of Loss...                             |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 120        | Treaty insurance for single-event losses.                    |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 121        | Reinsurance example: flood impacting multiple homes.         |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 122        | Aggregate excess loss reinsurance treaty                     |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 123        | Excess of Loss reinsurance example.                          |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 124        | Reinsurance treaty for specific risk classes.                |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.1. Treaty (re)insurance                                                    | 125        | Per-risk reinsurance for specific hazards.                   |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 126        | FAC differs from treaty reinsurance.                         |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 127        | Facultative reinsurance: single, specific risk coverage.     |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 128        | Reinsurance of tangible, assessable property.                |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 129        | Reinsurer underwrites and prices risk.                       |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 130        | Treaty reinsurance pricing relies on cedant.                 |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 131        | Facultative reinsurance: individual policy underwriting.     |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 132        | Facultative reinsurance types for buildings.                 |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 133        | Excess of Loss Reinsurance                                   |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 134        | Insurer uses reinsurance to limit risk.                      |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 135        | Finding buyers for 10 million (policies/units).              |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 136        | Reinsurance enables larger policy issuance.                  |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 137        | Excess of loss reinsurance example.                          |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 138        | Reinsurance shared proportionally by risk.                   |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 139        | Reinsurance: Sharing liability proportionally.               |
| 1. The Insurance Eco-System                                  | 1.5. Two different types of structuring (re)insurance                            | 1.5.1.2. Facultative (re)insurance (FAC)                                         | 140        | Loss sharing between insurer and reinsurer.                  |
| 2. Types of insurance                                        |                                                                                  |                                                                                  | 141        | Insurance: Personal and Commercial types.                    |
| 2. Types of insurance                                        |                                                                                  |                                                                                  | 142        | Insurance for individuals.                                   |
| 2. Types of insurance                                        |                                                                                  |                                                                                  | 143        | Business insurance products.                                 |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 144        | Personal lines: life and general insurance                   |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 145        | Document omits life insurance details.                       |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 146        | Five types of general insurance.                             |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 147        | Health insurance covers medical costs.                       |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 148        | Medical coverage: hospital and related expenses.             |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 149        | Optional additional insurance benefits.                      |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 150        | Health insurance benefit coverage explained.                 |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 151        | Document excludes health insurance details.                  |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 152        | Motor insurance: third-party vs. comprehensive.              |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 153        | Own car/property damage and liability.                       |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 154        | Travel insurance: Coverage for trip emergencies.             |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 155        | Home insurance covers damage to homes.                       |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 156        | Home insurance covers property and liabilities.              |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 157        | Types of home insurance coverage.                            |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 158        | Home insurance: fire, perils, structure.                     |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 159        | Home insurance: liability and contents coverage              |
| 2. Types of insurance                                        | 2.1 Personal Lines insurance                                                     |                                                                                  | 160        | Fire insurance: coverage for fire damage.                    |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 161        | Commercial insurance: customized for businesses.             |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 162        | Types of commercial insurance                                |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 163        | Business vehicle accident insurance.                         |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 164        | Work injury insurance coverage.                              |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 165        | Property insurance for businesses.                           |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 166        | Insurance for lost business income.                          |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 167        | Marine insurance for transported goods.                      |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 168        | Cyber insurance for online business protection.              |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 169        | Liability insurance for business harms.                      |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 170        | Professional liability insurance for negligence.             |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 171        | D&O insurance: Protects directors and officers.              |
| 2. Types of insurance                                        | 2.2 Commercial Lines insurance                                                   |                                                                                  | 172        | Employer-sponsored health insurance plans.                   |
| 3. The policy                                                |                                                                                  |                                                                                  | 173        | Understanding insurance policy components.                   |
| 3. The policy                                                |                                                                                  |                                                                                  | 174        | Six main insurance policy components.                        |
| 3. The policy                                                |                                                                                  |                                                                                  | 175        | Insurance policy section explanations.                       |
| 3. The policy                                                |                                                                                  |                                                                                  | 176        | Insurance policy exclusions, conditions, endorsements.       |
| 3. The policy                                                |                                                                                  |                                                                                  | 177        | Policy components, not sections, matter.                     |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 178        | Policy declaration's key information areas.                  |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 179        | Insured details and coverage summary.                        |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 180        | Motor policy header indicates main coverage.                 |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 181        | Premium, coverage limits, and sum insured.                   |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 182        | Car insurance: Sum insured based on...                       |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 183        | Deductibles: Initial payout before coverage.                 |
| 3. The policy                                                | 3.1. Declaration                                                                 |                                                                                  | 184        | Deductibles and insurer responsibility.                      |
